Year,Month,Retailer,Predicted_Demand
2026,1,Birmingham,133
2026,2,Birmingham,129
2026,3,Birmingham,181
2026,4,Birmingham,178
2026,5,Birmingham,173
2026,6,Birmingham,227
2026,7,Birmingham,242
2026,8,Birmingham,233
2026,9,Birmingham,179
2026,10,Birmingham,168
2026,11,Birmingham,178
2026,12,Birmingham,135
2026,1,Cambridge,118
2026,2,Cambridge,108
2026,3,Cambridge,162
2026,4,Cambridge,158
2026,5,Cambridge,146
2026,6,Cambridge,173
2026,7,Cambridge,191
2026,8,Cambridge,175
2026,9,Cambridge,155
2026,10,Cambridge,156
2026,11,Cambridge,149
2026,12,Cambridge,116
2026,1,Cardiff,168
2026,2,Cardiff,167
2026,3,Cardiff,214
2026,4,Cardiff,226
2026,5,Cardiff,220
2026,6,Cardiff,299
2026,7,Cardiff,296
2026,8,Cardiff,273
2026,9,Cardiff,223
2026,10,Cardiff,216
2026,11,Cardiff,211
2026,12,Cardiff,168
2026,1,Exeter,146
2026,2,Exeter,151
2026,3,Exeter,208
2026,4,Exeter,212
2026,5,Exeter,203
2026,6,Exeter,269
2026,7,Exeter,268
2026,8,Exeter,275
2026,9,Exeter,207
2026,10,Exeter,211
2026,11,Exeter,215
2026,12,Exeter,144
2026,1,Leeds,95
2026,2,Leeds,90
2026,3,Leeds,116
2026,4,Leeds,123
2026,5,Leeds,115
2026,6,Leeds,153
2026,7,Leeds,158
2026,8,Leeds,141
2026,9,Leeds,118
2026,10,Leeds,119
2026,11,Leeds,116
2026,12,Leeds,95
2026,1,Norwich,139
2026,2,Norwich,136
2026,3,Norwich,196
2026,4,Norwich,211
2026,5,Norwich,179
2026,6,Norwich,242
2026,7,Norwich,252
2026,8,Norwich,270
2026,9,Norwich,184
2026,10,Norwich,181
2026,11,Norwich,192
2026,12,Norwich,132
2026,1,Nottingham,191
2026,2,Nottingham,176
2026,3,Nottingham,253
2026,4,Nottingham,262
2026,5,Nottingham,266
2026,6,Nottingham,287
2026,7,Nottingham,288
2026,8,Nottingham,311
2026,9,Nottingham,251
2026,10,Nottingham,243
2026,11,Nottingham,249
2026,12,Nottingham,185
2026,1,Oxford,169
2026,2,Oxford,158
2026,3,Oxford,214
2026,4,Oxford,233
2026,5,Oxford,226
2026,6,Oxford,266
2026,7,Oxford,278
2026,8,Oxford,278
2026,9,Oxford,214
2026,10,Oxford,215
2026,11,Oxford,226
2026,12,Oxford,161
2026,1,Portsmouth,114
2026,2,Portsmouth,122
2026,3,Portsmouth,179
2026,4,Portsmouth,189
2026,5,Portsmouth,171
2026,6,Portsmouth,229
2026,7,Portsmouth,228
2026,8,Portsmouth,237
2026,9,Portsmouth,182
2026,10,Portsmouth,178
2026,11,Portsmouth,178
2026,12,Portsmouth,119
2026,1,Preston,221
2026,2,Preston,231
2026,3,Preston,276
2026,4,Preston,282
2026,5,Preston,280
2026,6,Preston,322
2026,7,Preston,324
2026,8,Preston,302
2026,9,Preston,278
2026,10,Preston,282
2026,11,Preston,251
2026,12,Preston,220
