Year,Month,Retailer,Predicted_Price_£
2026,1,Birmingham,369.49
2026,2,Birmingham,395.85
2026,3,Birmingham,510.58
2026,4,Birmingham,541.5
2026,5,Birmingham,603.22
2026,6,Birmingham,707.19
2026,7,Birmingham,736.29
2026,8,Birmingham,679.42
2026,9,Birmingham,558.27
2026,10,Birmingham,536.71
2026,11,Birmingham,478.15
2026,12,Birmingham,439.65
2026,1,Cambridge,393.99
2026,2,Cambridge,411.67
2026,3,Cambridge,509.66
2026,4,Cambridge,537.44
2026,5,Cambridge,603.2
2026,6,Cambridge,708.17
2026,7,Cambridge,729.56
2026,8,Cambridge,685.23
2026,9,Cambridge,569.4
2026,10,Cambridge,552.37
2026,11,Cambridge,494.36
2026,12,Cambridge,431.25
2026,1,Cardiff,383.76
2026,2,Cardiff,409.8
2026,3,Cardiff,517.35
2026,4,Cardiff,536.16
2026,5,Cardiff,598.03
2026,6,Cardiff,719.78
2026,7,Cardiff,751.81
2026,8,Cardiff,684.1
2026,9,Cardiff,567.9
2026,10,Cardiff,554.2
2026,11,Cardiff,484.13
2026,12,Cardiff,445.61
2026,1,Exeter,391.42
2026,2,Exeter,418.13
2026,3,Exeter,527.92
2026,4,Exeter,557.93
2026,5,Exeter,607.77
2026,6,Exeter,719.97
2026,7,Exeter,750.16
2026,8,Exeter,703.24
2026,9,Exeter,583.25
2026,10,Exeter,556.0
2026,11,Exeter,509.03
2026,12,Exeter,449.55
2026,1,Leeds,378.66
2026,2,Leeds,408.97
2026,3,Leeds,516.69
2026,4,Leeds,548.37
2026,5,Leeds,598.35
2026,6,Leeds,714.27
2026,7,Leeds,736.1
2026,8,Leeds,690.72
2026,9,Leeds,575.42
2026,10,Leeds,544.66
2026,11,Leeds,496.35
2026,12,Leeds,447.61
2026,1,Norwich,374.82
2026,2,Norwich,399.94
2026,3,Norwich,511.7
2026,4,Norwich,550.76
2026,5,Norwich,605.86
2026,6,Norwich,711.0
2026,7,Norwich,740.2
2026,8,Norwich,688.41
2026,9,Norwich,571.12
2026,10,Norwich,540.97
2026,11,Norwich,487.33
2026,12,Norwich,438.7
2026,1,Nottingham,395.4
2026,2,Nottingham,411.74
2026,3,Nottingham,538.79
2026,4,Nottingham,565.41
2026,5,Nottingham,605.02
2026,6,Nottingham,732.38
2026,7,Nottingham,746.12
2026,8,Nottingham,693.15
2026,9,Nottingham,592.75
2026,10,Nottingham,552.7
2026,11,Nottingham,498.01
2026,12,Nottingham,448.94
2026,1,Oxford,394.89
2026,2,Oxford,423.05
2026,3,Oxford,518.98
2026,4,Oxford,559.13
2026,5,Oxford,608.25
2026,6,Oxford,713.55
2026,7,Oxford,752.54
2026,8,Oxford,692.55
2026,9,Oxford,578.6
2026,10,Oxford,555.97
2026,11,Oxford,497.23
2026,12,Oxford,442.35
2026,1,Portsmouth,373.24
2026,2,Portsmouth,411.84
2026,3,Portsmouth,516.09
2026,4,Portsmouth,561.75
2026,5,Portsmouth,592.71
2026,6,Portsmouth,716.13
2026,7,Portsmouth,733.06
2026,8,Portsmouth,685.67
2026,9,Portsmouth,573.74
2026,10,Portsmouth,554.72
2026,11,Portsmouth,495.07
2026,12,Portsmouth,434.9
2026,1,Preston,399.95
2026,2,Preston,419.96
2026,3,Preston,526.8
2026,4,Preston,551.93
2026,5,Preston,604.64
2026,6,Preston,712.78
2026,7,Preston,751.91
2026,8,Preston,691.11
2026,9,Preston,586.06
2026,10,Preston,556.65
2026,11,Preston,501.27
2026,12,Preston,432.21
